Day,Month,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Total_load
16,12,17.24,4.216,0.418,234.84,18.4,0,1,17,70.26666667
16,12,17.25,5.36,0.436,233.63,23,0,1,16,89.33333333
16,12,17.26,5.374,0.498,233.29,23,0,2,17,89.56666667
16,12,17.27,5.388,0.502,233.74,23,0,1,17,89.8
16,12,17.28,3.666,0.528,235.68,15.8,0,1,17,61.1
16,12,17.29,3.52,0.522,235.02,15,0,2,17,58.66666667
16,12,17.3,3.702,0.52,235.09,15.8,0,1,17,61.7
16,12,17.31,3.7,0.52,235.22,15.8,0,1,17,61.66666667
16,12,17.32,3.668,0.51,233.99,15.8,0,1,17,61.13333333
16,12,17.33,3.662,0.51,233.86,15.8,0,2,16,61.03333333
16,12,17.34,4.448,0.498,232.86,19.6,0,1,17,74.13333333
16,12,17.35,5.412,0.47,232.78,23.2,0,1,17,90.2
16,12,17.36,5.224,0.478,232.99,22.4,0,1,16,87.06666667
16,12,17.37,5.268,0.398,232.91,22.6,0,2,17,87.8
16,12,17.38,4.054,0.422,235.24,17.6,0,1,17,67.56666667
16,12,17.39,3.384,0.282,237.14,14.2,0,0,17,56.4
16,12,17.4,3.27,0.152,236.73,13.8,0,0,17,54.5
16,12,17.41,3.43,0.156,237.06,14.4,0,0,17,57.16666667
16,12,17.42,3.266,0,237.13,13.8,0,0,18,54.43333333
16,12,17.43,3.728,0,235.84,16.4,0,0,17,62.13333333
16,12,17.44,5.894,0,232.69,25.4,0,0,16,98.23333333
16,12,17.45,7.706,0,230.98,33.2,0,0,17,128.4333333
16,12,17.46,7.026,0,232.21,30.6,0,0,16,117.1
16,12,17.47,5.174,0,234.19,22,0,0,17,86.23333333
16,12,17.48,4.474,0,234.96,19.4,0,0,17,74.56666667
16,12,17.49,3.248,0,236.66,13.6,0,0,17,54.13333333
16,12,17.5,3.236,0,235.84,13.6,0,0,17,53.93333333
16,12,17.51,3.228,0,235.6,13.6,0,0,17,53.8
