Date,Month,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Total_load
1,1,0,0.484,0.062,247.86,2.2,0,0,0,8.066666667
1,1,0.01,0.484,0.062,247.72,2.2,0,0,0,8.066666667
1,1,0.02,0.482,0.062,247.75,2.2,0,0,0,8.033333333
1,1,0.03,0.482,0.06,247.52,2.2,0,0,0,8.033333333
1,1,0.04,0.482,0.062,246.94,2.2,0,0,0,8.033333333
1,1,0.05,0.57,0,246.94,2.6,0,0,0,9.5
1,1,0.06,0.59,0.078,246.77,2.6,0,0,0,9.833333333
1,1,0.07,0.588,0.078,246.93,2.6,0,0,0,9.8
1,1,0.08,0.586,0.078,247.16,2.6,0,0,0,9.766666667
1,1,0.09,0.586,0.078,247.15,2.6,0,0,0,9.766666667
1,1,0.1,0.586,0.08,247.69,2.6,0,0,0,9.766666667
1,1,0.11,0.586,0.08,247.89,2.6,0,0,0,9.766666667
1,1,0.12,0.586,0.082,248.27,2.6,0,0,0,9.766666667
1,1,0.13,0.586,0.082,248.41,2.6,0,0,0,9.766666667
1,1,0.14,0.584,0.082,248.1,2.6,0,0,0,9.733333333
1,1,0.15,0.582,0.082,247.92,2.6,0,0,0,9.7
1,1,0.16,0.58,0.082,247.37,2.6,0,0,0,9.666666667
1,1,0.17,0.58,0.084,247.87,2.6,0,0,0,9.666666667
1,1,0.18,0.582,0.084,248.33,2.6,0,0,0,9.7
1,1,0.19,0.58,0.084,248.05,2.6,0,0,0,9.666666667
1,1,0.2,0.578,0.08,247.41,2.6,0,0,0,9.633333333
1,1,0.21,0.578,0.08,247.68,2.6,0,0,0,9.633333333
1,1,0.22,0.578,0.08,247.79,2.6,0,0,0,9.633333333
1,1,0.23,0.576,0.078,247.24,2.6,0,0,0,9.6
1,1,0.24,0.598,0.088,245.5,2.6,0,0,0,9.966666667
1,1,0.25,0.652,0.182,245.68,2.8,0,0,0,10.86666667
1,1,0.26,0.622,0.14,246.22,2.8,0,0,0,10.36666667
1,1,0.27,0.558,0,246.23,2.4,0,0,0,9.3
1,1,0.28,0.558,0,246.81,2.4,0,0,0,9.3
1,1,0.29,0.556,0,246.41,2.4,0,0,0,9.266666667
1,1,0.3,0.554,0,246.29,2.4,0,0,0,9.233333333
1,1,0.31,0.552,0,245.89,2.4,0,0,0,9.2
1,1,0.32,0.552,0,246.17,2.4,0,0,0,9.2
1,1,0.33,0.55,0,245.89,2.4,0,0,0,9.166666667
1,1,0.34,0.55,0,245.73,2.4,0,0,0,9.166666667
1,1,0.35,0.536,0,245.47,2.4,0,0,0,8.933333333
1,1,0.36,0.48,0.062,245.83,2.2,0,0,0,8
1,1,0.37,0.482,0.06,247.33,2.2,0,0,0,8.033333333
1,1,0.38,0.482,0.062,247.42,2.2,0,0,0,8.033333333
1,1,0.39,0.482,0.06,247.46,2.2,0,0,0,8.033333333
1,1,0.4,0.482,0.062,247.42,2.2,0,0,0,8.033333333
1,1,0.41,0.482,0.062,246.81,2.2,0,0,0,8.033333333
1,1,0.42,0.482,0.062,247.36,2.2,0,0,0,8.033333333
1,1,0.43,0.482,0.062,246.83,2.2,0,0,0,8.033333333
1,1,0.44,0.48,0.064,245.89,2.2,0,0,0,8
1,1,0.45,0.48,0.062,246.1,2.2,0,0,0,8
1,1,0.46,0.48,0.064,246.1,2.2,0,0,0,8
1,1,0.47,0.48,0.064,245.89,2.2,0,0,0,8
1,1,0.48,0.48,0.062,246.5,2.2,0,0,0,8
1,1,0.49,0.48,0.062,245.92,2.2,0,0,0,8
1,1,0.5,0.48,0.064,245.84,2.2,0,0,0,8
1,1,0.51,0.48,0.064,246.04,2.2,0,0,0,8
1,1,0.52,0.48,0.064,245.94,2.2,0,0,0,8
1,1,0.53,0.48,0.064,245.83,2.2,0,0,0,8
1,1,0.54,0.48,0.062,246.01,2.2,0,0,0,8
1,1,0.55,0.482,0.06,246.86,2.2,0,0,0,8.033333333
1,1,0.56,0.482,0.062,247.4,2.2,0,0,0,8.033333333
1,1,0.57,0.504,0.048,247.41,2.2,0,0,0,8.4
1,1,0.58,0.592,0.078,246.77,2.6,0,0,0,9.866666667
1,1,0.59,0.588,0.078,246.35,2.6,0,0,0,9.8
1,1,1,0.586,0.078,246.22,2.6,0,0,0,9.766666667
1,1,1.01,0.588,0.08,246.65,2.6,0,0,0,9.8
1,1,1.02,0.584,0.078,246.58,2.6,0,0,0,9.733333333
1,1,1.03,0.584,0.078,246.77,2.6,0,0,0,9.733333333
1,1,1.04,0.584,0.078,246.81,2.6,0,0,0,9.733333333
1,1,1.05,0.582,0.076,246.19,2.6,0,0,0,9.7
1,1,1.06,0.58,0.076,246.3,2.6,0,0,0,9.666666667
1,1,1.07,0.578,0.074,245.34,2.6,0,0,0,9.633333333
1,1,1.08,0.572,0.07,244.05,2.6,0,0,0,9.533333333
1,1,1.09,0.574,0.07,244.69,2.6,0,0,0,9.566666667
1,1,1.1,0.652,0.156,244.41,3,0,0,0,10.86666667
1,1,1.11,0.65,0.176,244.83,2.8,0,0,0,10.83333333
1,1,1.12,0.65,0.178,244.97,2.8,0,0,0,10.83333333
1,1,1.13,0.65,0.178,245.13,2.8,0,0,0,10.83333333
1,1,1.14,0.648,0.18,245.22,2.8,0,0,0,10.8
1,1,1.15,0.646,0.18,245.4,2.8,0,0,0,10.76666667
1,1,1.16,0.644,0.178,244.97,2.8,0,0,0,10.73333333
1,1,1.17,0.638,0.172,244.95,2.8,0,0,0,10.63333333
1,1,1.18,0.55,0,245.6,2.4,0,0,0,9.166666667
1,1,1.19,0.548,0,244.73,2.4,0,0,0,9.133333333
1,1,1.2,0.528,0,244.9,2.4,0,0,0,8.8
1,1,1.21,0.478,0.066,244.73,2.2,0,0,0,7.966666667
1,1,1.22,0.478,0.068,244.7,2.2,0,0,0,7.966666667
1,1,1.23,0.478,0.066,244.76,2.2,0,0,0,7.966666667
1,1,1.24,0.476,0.068,243.71,2.2,0,0,0,7.933333333
1,1,1.25,0.474,0.07,242.35,2.2,0,0,0,7.9
1,1,1.26,0.472,0.072,242.23,2.2,0,0,0,7.866666667
1,1,1.27,0.472,0.072,242.16,2.2,0,0,0,7.866666667
1,1,1.28,0.472,0.074,242.1,2.2,0,0,0,7.866666667
1,1,1.29,0.472,0.072,242.33,2.2,0,0,0,7.866666667
1,1,1.3,0.472,0.074,241.93,2.2,0,0,0,7.866666667
1,1,1.31,0.472,0.072,242.09,2.2,0,0,0,7.866666667
1,1,1.32,0.474,0.07,242.51,2.2,0,0,0,7.9
1,1,1.33,0.476,0.068,243.52,2.2,0,0,0,7.933333333
1,1,1.34,0.474,0.07,243.01,2.2,0,0,0,7.9
1,1,1.35,0.476,0.07,243.65,2.2,0,0,0,7.933333333
1,1,1.36,0.476,0.07,243.9,2.2,0,0,0,7.933333333
1,1,1.37,0.476,0.07,243.59,2.2,0,0,0,7.933333333
1,1,1.38,0.474,0.07,243.15,2.2,0,0,0,7.9
1,1,1.39,0.474,0.07,243.34,2.2,0,0,0,7.9
1,1,1.4,0.476,0.068,243.74,2.2,0,0,0,7.933333333
1,1,1.41,0.476,0.068,244.34,2.2,0,0,0,7.933333333
1,1,1.42,0.476,0.068,243.91,2.2,0,0,0,7.933333333
1,1,1.43,0.476,0.068,243.64,2.2,0,0,0,7.933333333
1,1,1.44,0.476,0.068,243.87,2.2,0,0,0,7.933333333
1,1,1.45,0.478,0.066,244.57,2.2,0,0,0,7.966666667
1,1,1.46,0.478,0.066,244.83,2.2,0,0,0,7.966666667
